STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,accident,Accident,victim,Type of victim,pers_cat,Category of persons,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LT,Lithuania,2019,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LT,Lithuania,2020,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LT,Lithuania,2021,,8,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LT,Lithuania,2022,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LT,Lithuania,2023,,9,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2009,,3,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2010,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2011,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2012,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2013,,3,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2014,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2015,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2016,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2017,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2018,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2019,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2020,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2021,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2022,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LU,Luxembourg,2023,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2006,,30,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2007,,28,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2008,,29,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2009,,17,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2010,,22,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2011,,13,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2012,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2013,,14,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2014,,15,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2015,,9,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2016,,15,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2017,,16,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2018,,12,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2019,,13,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2020,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2021,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2022,,13,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,LV,Latvia,2023,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,ME,Montenegro,2013,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,ME,Montenegro,2014,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,ME,Montenegro,2015,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,ME,Montenegro,2016,,5,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2009,,7,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2010,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2011,,5,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2012,,14,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2013,,8,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2014,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2015,,22,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2016,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2017,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,MK,North Macedonia,2018,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2006,,16,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2007,,20,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2008,,20,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2009,,14,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2010,,10,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2011,,14,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2012,,16,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2013,,17,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2014,,9,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2015,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2016,,8,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2017,,12,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2018,,16,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2019,,11,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2020,,8,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2021,,11,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2022,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NL,Netherlands,2023,,10,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2006,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2007,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2008,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2009,,3,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2010,,9,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2011,,6,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2012,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2013,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2014,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2015,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2016,,3,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2017,,3,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2018,,5,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2019,,2,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2020,,1,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2021,,0,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2022,,7,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,NO,Norway,2023,,4,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2006,,311,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2007,,357,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2008,,308,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2009,,365,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2010,,283,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2011,,320,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2012,,271,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2013,,227,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2014,,206,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2015,,227,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2016,,167,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2017,,171,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2018,,195,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2019,,160,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2020,,148,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2021,,148,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2022,,165,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PL,Poland,2023,,159,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2006,,53,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2007,,58,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2008,,42,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2009,,32,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2010,,22,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2011,,14,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2012,,24,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2013,,26,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2014,,19,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2015,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2016,,25,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2017,,20,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2018,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2019,,32,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2020,,27,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2021,,18,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2022,,12,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,PT,Portugal,2023,,19,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,RO,Romania,2006,,130,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,RO,Romania,2007,,186,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,RO,Romania,2008,,208,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,RO,Romania,2009,,150,,,,,
