Dist(km),Rail (hrs),Flight (hrs),Avg rail speed (km/h)
398.4, 4.59 ,3.05,125.8
381.0, 4.61 ,3.07,118.7
493.4, 5.18 ,3.62,139.0
371.8, 4.89 ,3.32,113.9
486.7, 4.79 ,3.20,137.9
360.4, 4.54 ,2.93,139.4
407.7, 4.87 ,3.22,114.6
466.9, 4.78 ,3.12,145.0
438.9, 4.83 ,3.16,202.1
332.1, 4.72 ,2.99,90.1
364.3, 5.14 ,3.40,116.8
342.0, 5.05 ,3.28,113.3
360.7, 4.87 ,3.08,141.7
415.3, 5.12 ,3.32,128.8
438.4, 5.41 ,3.59,129.6
371.0, 5.22 ,3.39,106.5
470.0, 5.08 ,3.25,127.3
486.9, 5.35 ,3.52,128.6
374.7, 5.27 ,3.42,118.8
280.9, 4.71 ,2.84,94.8
282.0, 5.20 ,3.30,81.1
466.3, 5.57 ,3.65,117.6
363.6, 5.27 ,3.34,97.8
389.1, 5.31 ,3.36,104.1
475.5, 5.17 ,3.22,127.9
355.7, 5.27 ,3.30,123.4
388.5, 5.15 ,3.15,125.1
412.6, 5.54 ,3.53,125.2
295.6, 4.88 ,2.86,125.8
454.7, 5.69 ,3.66,153.1
348.4, 5.03 ,2.99,88.4
372.7, 5.27 ,3.21,93.4
400.3, 5.32 ,3.22,109.8
295.4, 5.02 ,2.84,92.7
323.2, 5.39 ,3.19,97.8
327.8, 5.27 ,3.05,98.1
260.4, 5.08 ,2.75,74.5
361.5, 5.41 ,3.08,88.2
334.8, 5.72 ,3.38,100.8
491.8, 5.85 ,3.50,128.3
432.2, 5.89 ,3.52,118.2
434.2, 5.92 ,3.53,119.2
490.1, 5.84 ,3.36,112.9
473.8, 5.94 ,3.46,125.3
314.0, 5.40 ,2.92,90.0
457.2, 5.95 ,3.46,128.9
456.1, 5.94 ,3.42,97.9
300.5, 5.69 ,3.16,80.5
403.0, 5.79 ,3.27,111.6
339.0, 6.06 ,3.46,96.9
467.0, 5.76 ,3.14,141.3
372.5, 5.73 ,3.10,102.4
464.0, 5.95 ,3.31,121.6
333.4, 5.62 ,2.97,105.2
480.9, 6.38 ,3.72,115.5
403.8, 5.92 ,3.23,115.4
417.5, 6.16 ,3.45,107.9
283.3, 5.63 ,2.92,100.7
498.5, 6.11 ,3.37,117.9
412.2, 6.09 ,3.32,96.5
474.4, 5.92 ,3.09,122.9
420.9, 6.15 ,3.32,106.7
410.4, 6.25 ,3.40,92.0
286.0, 6.11 ,3.23,82.5
499.6, 6.48 ,3.59,113.2
467.0, 6.14 ,3.24,120.8
463.0, 6.23 ,3.33,119.4
386.2, 6.05 ,3.10,99.3
318.0, 5.92 ,2.95,84.1
308.3, 6.03 ,3.03,79.6
472.1, 6.33 ,3.33,116.4
300.7, 6.17 ,3.11,93.1
303.4, 6.48 ,3.41,85.3
406.4, 6.33 ,3.19,104.2
477.9, 6.44 ,3.24,113.5
320.3, 6.46 ,3.26,75.5
443.3, 6.53 ,3.30,119.3
314.3, 6.23 ,2.99,80.0
390.9, 6.58 ,3.33,109.1
326.5, 6.21 ,2.95,80.8
293.5, 6.34 ,3.04,96.9
383.9, 6.79 ,3.41,104.6
486.5, 6.45 ,3.06,118.9
493.8, 6.64 ,3.14,118.4
446.0, 6.99 ,3.44,101.6
410.2, 6.71 ,3.12,110.4
340.6, 7.23 ,3.62,90.3
465.4, 7.00 ,3.34,106.9
403.0, 6.90 ,3.21,85.8
470.1, 6.93 ,3.18,101.2
426.3, 7.18 ,3.40,106.1
430.4, 6.98 ,3.20,109.6
479.2, 6.99 ,3.19,106.2
324.9, 6.92 ,3.06,70.3
420.9, 7.36 ,3.49,104.6
464.4, 6.83 ,2.95,131.2
412.3, 7.16 ,3.26,93.9
357.6, 7.31 ,3.29,79.8
363.5, 7.64 ,3.53,84.2
267.4, 7.18 ,2.93,66.8
467.4, 7.63 ,3.29,94.6
484.2, 7.66 ,3.29,92.3
469.7, 7.30 ,2.93,101.7
460.2, 7.92 ,3.37,89.1
462.4, 8.13 ,3.36,139.9
453.9, 8.21 ,3.39,96.5
346.9, 8.24 ,3.39,87.2
361.1, 7.95 ,3.06,119.5
477.0, 8.32 ,3.34,89.4
379.1, 7.84 ,2.76,71.8
378.3, 8.09 ,3.00,73.2
482.5, 8.10 ,3.00,98.0
488.5, 8.68 ,3.28,104.0
344.8, 8.61 ,3.18,115.7
334.3, 8.73 ,3.21,84.2
276.7, 8.23 ,2.66,79.6
394.7, 8.78 ,3.21,74.4
491.7, 8.78 ,3.22,132.2
496.5, 9.18 ,3.58,125.7
424.2, 8.92 ,3.29,69.9
460.0, 9.16 ,3.26,85.6
483.0, 9.34 ,3.38,94.9
487.7, 9.53 ,3.46,94.0
409.1, 9.65 ,3.19,58.0
323.5, 9.51 ,2.95,56.3
318.1, 9.71 ,3.04,73.4
422.8, 10.03 ,3.27,76.4
335.7, 10.50 ,3.25,71.5
421.2, 10.90 ,3.53,86.2
484.7, 11.95 ,3.37,73.5
328.0, 12.05 ,2.98,57.0
